"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl36al",3.82982554435735e-16,0.630353284510995,0.746,0.71,9.62396861041559e-12
"Rpl23",4.60490927491037e-16,0.414889625583303,0.992,0.989,1.15716765169223e-11
"Cox6a1",5.43363252793507e-16,0.500600426487371,0.927,0.936,1.3654175179448e-11
"Rpl22",5.864020785931e-16,0.636766647714776,0.73,0.67,1.4735697832966e-11
"Lars2",8.29511767479085e-16,-0.745107447338005,0.497,0.761,2.08448012049819e-11
"Nxph3",9.2797704251252e-16,-0.467481354003163,0.534,0.744,2.33191351012971e-11
"Ost4",1.09519975362919e-15,0.655192346444688,0.607,0.551,2.75212746089479e-11
"Ebf4",1.21008264444456e-15,-0.507031104300349,0.331,0.522,3.04081667722474e-11
"Uqcrh",1.2663408230662e-15,0.425996339483311,0.954,0.964,3.18218785428305e-11
"Eef1a1",1.53657782191763e-15,0.41906105904732,0.985,0.967,3.86126640869682e-11
"App",1.65574668607705e-15,-0.404633350569473,0.907,0.982,4.16072584744303e-11
"Robo2",2.0875389128856e-15,-0.6961916554532,0.388,0.624,5.24577653419023e-11
"Dad1",2.11837475370126e-15,0.431176451349009,0.78,0.797,5.3232639185759e-11
"Tmem178b",2.46596127613069e-15,-0.398386835610918,0.444,0.644,6.19671409078881e-11
"Serinc2",2.74601304535177e-15,-0.673675068897095,0.191,0.358,6.90045618166447e-11
"Rplp2",2.7645802104263e-15,0.487178970735997,0.946,0.931,6.94711361078024e-11
"Myl12b",3.22076602155655e-15,0.384350778592035,0.678,0.701,8.09346293556947e-11
"Elob",3.45195361030526e-15,0.413887264111656,0.929,0.94,8.67441422733608e-11
"Rps27l",3.71642818947693e-15,0.416868160628178,0.573,0.571,9.33901239733657e-11
"Rnf10",4.12160679519846e-15,-0.723051900046858,0.215,0.397,1.03571857156542e-10
"Unc5b",4.25941434407752e-15,-0.636091093065434,0.287,0.483,1.07034823052324e-10
"Tsc22d1",4.47211860577931e-15,0.409676898217312,0.877,0.904,1.12379868444628e-10
"Mtrex",6.34504704877782e-15,-0.522815674333621,0.184,0.31,1.59444687288738e-10
"Vwa3a",7.59389936449665e-15,-0.403120103784359,0.269,0.408,1.90827097130436e-10
"Rps27a",1.17195514624721e-14,0.323188207732018,0.989,0.99,2.94500608700462e-10
"Ndufb4",1.22216745372979e-14,0.431511555712006,0.903,0.926,3.07118459447758e-10
"Slc25a5",1.64382137659165e-14,0.348780598616482,0.964,0.979,4.13075873723715e-10
"Tomm7",1.65666201186553e-14,0.587297920410338,0.811,0.775,4.16302596961688e-10
"Bcl11a",1.66903190206481e-14,-0.328918480946376,0.548,0.732,4.19411026669866e-10
"Brsk2",1.70344886982189e-14,-0.404782166109968,0.199,0.302,4.28059666497543e-10
"Ndufc2",2.38582177304999e-14,0.405801023724962,0.905,0.924,5.99533153349732e-10
"Rb1",2.41528815057807e-14,-0.500227511546694,0.268,0.429,6.06937759358763e-10
"Rpl21",2.92329783015977e-14,0.3447730853462,0.992,0.99,7.34595511740848e-10
"Ulk2",2.97060401377835e-14,-0.609858425196247,0.258,0.447,7.46483082622362e-10
"Clstn2",3.04638055590501e-14,-0.264046031669227,0.652,0.814,7.65524969893371e-10
"Ppp1r14c",3.19193168257032e-14,-0.298016209612027,0.645,0.816,8.02100512513095e-10
"Atp5g2",3.42602143785067e-14,0.328245276153849,0.773,0.821,8.60924927117496e-10
"Ccdc170",3.44314171624541e-14,-0.457137581385461,0.344,0.527,8.6522708187531e-10
"Tnrc6a",3.46058028070798e-14,-0.554395457560861,0.307,0.494,8.69609218739107e-10
"Tomm6",4.49507693821378e-14,0.482385416413031,0.739,0.742,1.12956788380374e-09
"Fut8",4.81472832014476e-14,-0.275859790649807,0.43,0.588,1.20989307956918e-09
"Kcnk10",5.09955276150833e-14,-0.432060890998073,0.359,0.544,1.28146661343943e-09
"Cpe",5.46358805544431e-14,0.292961185494921,0.712,0.761,1.3729450424526e-09
"mt-Nd5",5.80810622822177e-14,-0.343164532184502,0.775,0.924,1.45951901408985e-09
"Cystm1",6.51137657757705e-14,0.307845132706373,0.983,0.989,1.63624382017934e-09
"Rfx3",7.64121905852726e-14,-0.397167607350925,0.483,0.682,1.92016193721731e-09
"Dync1h1",7.83913936783695e-14,-0.346840131849213,0.495,0.689,1.96989733174375e-09
"Tbca",7.89226690846538e-14,0.365238767933619,0.649,0.677,1.98324775142827e-09
"Rps2",8.74174876643752e-14,0.362568081163313,0.848,0.858,2.19671404751808e-09
"Rps11",1.01460280535654e-13,0.418031587211049,0.96,0.956,2.54959538958045e-09
"Acss2",1.03875818293657e-13,-0.732225629885412,0.298,0.52,2.6102954379013e-09
"Rpl22l1",1.20371155606879e-13,0.595176289503233,0.609,0.56,3.02480676924526e-09
"Rps27",1.23251733932941e-13,0.485879147066887,0.938,0.89,3.09719282200089e-09
"Slc24a4",1.27249168334929e-13,-0.425605524209547,0.296,0.454,3.19764435108843e-09
"Mdh1",1.41177635138111e-13,0.33294877096714,0.944,0.966,3.5476527933856e-09
"Cacna1d",1.42451275211005e-13,-0.599638761847259,0.406,0.627,3.57965809477733e-09
"Lrguk",1.44337287998195e-13,-0.375426780423169,0.666,0.843,3.62705171010664e-09
"Rpl31",1.45094223645252e-13,0.371134046229701,0.66,0.681,3.64607274598155e-09
"Rpl36",1.46068407584115e-13,0.457926024485077,0.868,0.847,3.67055301418122e-09
