"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Polr2k",9.58722260606919e-11,0.427168091949162,0.613,0.613,2.40917316867913e-06
"Snrnp200",1.01521146169543e-10,-0.395674222639671,0.233,0.348,2.55112488209444e-06
"Cct2",1.06391883781172e-10,0.274149562848805,0.705,0.757,2.67352164753708e-06
"Tmem106b",1.12546322077051e-10,-0.310342300184148,0.284,0.417,2.82817652747422e-06
"Ppp1r21",1.17522091217725e-10,-0.432236003690253,0.165,0.263,2.95321263021021e-06
"Uri1",1.18191621170198e-10,-0.370922745739873,0.23,0.344,2.9700372483859e-06
"Cdkl4",1.19222532381516e-10,-0.309955621106216,0.512,0.683,2.99594301621513e-06
"Eif4a1",1.19244303645909e-10,0.411353228511353,0.674,0.692,2.99649010631804e-06
"Atf4",1.25218468774007e-10,0.411653021591425,0.575,0.588,3.14661490182202e-06
"C2cd5",1.28012307152002e-10,-0.388834833308545,0.174,0.267,3.21682126642265e-06
"Snrpg",1.40754450801678e-10,0.479215599089318,0.616,0.594,3.53701859419536e-06
"Sgpl1",1.41527946553428e-10,-0.317701709390612,0.815,0.927,3.5564557689411e-06
"Pfdn5",1.43131275369112e-10,0.258702729269655,0.93,0.961,3.59674581875041e-06
"Ralgds",1.46656848934285e-10,-0.358704491394554,0.197,0.299,3.68533995686964e-06
"Pgam1",1.60395469922725e-10,0.326702582366084,0.928,0.953,4.03057776368815e-06
"Rheb",1.67760597568246e-10,0.308745424408721,0.497,0.531,4.21565605629246e-06
"Lrrc49",1.69973052148573e-10,-0.484205629572061,0.156,0.256,4.27125282744148e-06
"Fzd3",1.76830718398494e-10,-0.392264171932005,0.39,0.565,4.44357912263575e-06
"Ap2a2",1.77333927583406e-10,-0.771448868592018,0.236,0.431,4.45622426624342e-06
"Zfp407",1.78894943908465e-10,-0.451378791415731,0.179,0.285,4.49545104547583e-06
"Nin",1.79277969278688e-10,-0.403495730911935,0.494,0.677,4.50507609000416e-06
"Chmp5",1.8570888954025e-10,0.263007096083812,0.477,0.514,4.66667868525693e-06
"Psmb3",1.8574832180847e-10,0.309979738740102,0.768,0.811,4.66766957872505e-06
"Stk40",1.85936667861057e-10,-0.379285517987697,0.27,0.409,4.67240252668049e-06
"Rab5b",1.87511431425113e-10,-0.360945268863363,0.193,0.291,4.71197476028167e-06
"Prpf39",1.88300371113501e-10,-0.388260551882839,0.18,0.268,4.73180002571117e-06
"Map7",1.91868910579116e-10,-0.397629026167096,0.278,0.429,4.82147385394261e-06
"Srgap2",1.9413663843822e-10,-0.300560440324008,0.281,0.412,4.87845958731402e-06
"Cdc42",1.94973006522012e-10,0.277525734328512,0.637,0.688,4.89947668089163e-06
"Tnks2",1.96018188841241e-10,-0.465822666181337,0.217,0.348,4.92574106739154e-06
"Ezh1",2.05555942897533e-10,-0.605157878104365,0.171,0.293,5.1654152890721e-06
"Zfp445",2.06908327916959e-10,-0.284774947378112,0.256,0.368,5.19939937222526e-06
"Usp12",2.08702745540981e-10,-0.261497810064955,0.307,0.432,5.24449129269931e-06
"Rpl11",2.10777129367058e-10,0.376590772893096,0.953,0.952,5.29661848386481e-06
"Selenof",2.12519908984757e-10,0.32534036241605,0.832,0.865,5.34041279287795e-06
"Psmb2",2.13342002975892e-10,0.281135368907082,0.543,0.595,5.36107119278119e-06
"Phf20l1",2.17515344708542e-10,-0.271826163043866,0.275,0.4,5.46594309718095e-06
"1700016K19Rik",2.24750282573102e-10,-0.342261724168079,0.508,0.683,5.64774985077948e-06
"Slc1a2",2.32038212895753e-10,-0.36530935798111,0.635,0.817,5.83088825185738e-06
"Socs2",2.32422439610891e-10,-0.835881436505178,0.177,0.38,5.84054348498208e-06
"Parg",2.37262069711871e-10,-0.34229201721076,0.21,0.309,5.9621585497896e-06
"Nvl",2.47521959009932e-10,-0.281746850191232,0.244,0.348,6.21997930796058e-06
"Ncbp1",2.47536374830549e-10,-0.253968696792979,0.211,0.302,6.22034156311686e-06
"Atp5d",2.59070450660426e-10,0.255349070813286,0.785,0.848,6.51018135464584e-06
"Gm19938",2.64057018392018e-10,-0.359593547688366,0.202,0.3,6.63548881517301e-06
"Rps10",2.6912992399851e-10,0.313677457790635,0.969,0.972,6.76296586015856e-06
"Atp5h",2.72305977017631e-10,0.350514502895415,0.986,0.992,6.84277689647606e-06
"Grcc10",2.89132450818068e-10,0.383247464240137,0.865,0.883,7.26560935660723e-06
"Snrpe",2.93922609330904e-10,0.466176241362088,0.57,0.565,7.3859812498763e-06
"Ro60",2.9819091487822e-10,-0.293358108248483,0.33,0.469,7.49323949997479e-06
"Tmem59",3.12690357652553e-10,0.312102600259973,0.926,0.951,7.857595997451e-06
"Wdr45b",3.20910170473973e-10,-0.67728745326834,0.188,0.336,8.06415167384046e-06
"Tbc1d15",3.22624401377644e-10,-0.405315212463416,0.244,0.379,8.10722858221882e-06
"Top1",3.28521927649506e-10,0.259834650549665,0.799,0.843,8.25542751990443e-06
"Pde7b",3.29585596464391e-10,-0.346766107073913,0.33,0.474,8.28215645355369e-06
"Abca3",3.35377954844013e-10,-0.301184446929476,0.375,0.527,8.42771262727521e-06
"Wdfy2",3.54308613875669e-10,-0.250494023850707,0.226,0.313,8.90342115808168e-06
"Ckmt1",3.59000557056431e-10,0.458116533349178,0.594,0.585,9.02132499827105e-06
"Mgst3",3.59318685502424e-10,0.276712577947054,0.953,0.975,9.02931924799042e-06
"Ap2b1",3.60009875897599e-10,-0.667221695907321,0.231,0.397,9.04668817143077e-06
"Phtf1",3.61945864843377e-10,-0.45299474808958,0.239,0.38,9.09533763764921e-06
"Ptbp3",3.84173756835273e-10,-0.272821324303996,0.622,0.805,9.65390233551358e-06
"Prdx2",3.95334302021711e-10,0.447110608071236,0.743,0.759,9.93435567550358e-06
"C530008M17Rik",3.95348773037561e-10,-0.460824800414986,0.343,0.531,9.93471931766088e-06
"Pitpnb",3.98163417784207e-10,-0.362360782441437,0.46,0.652,1.00054485254993e-05
"Specc1",4.03058175795429e-10,-0.334205275742659,0.249,0.367,1.01284488995633e-05
"Dhx8",4.06564653265524e-10,-0.366659425179269,0.173,0.258,1.02165631719094e-05
"Ago2",4.19747311956477e-10,-0.271734178469912,0.395,0.546,1.05478302021543e-05
"Psap",4.21785384941548e-10,0.270573569254745,0.937,0.967,1.05990449381962e-05
"Sars",4.25590455902319e-10,-0.303777233404254,0.46,0.618,1.06946625663694e-05
"Snx10",4.46062498116196e-10,-0.309000084571103,0.394,0.565,1.12091045151619e-05
"Rpl26",4.4657789913761e-10,0.358734900422891,0.985,0.985,1.1222056027429e-05
"Prkx",4.47590740572441e-10,-0.429926878489708,0.357,0.536,1.12475077198449e-05
"Wdr47",4.58820189016132e-10,-0.314952547370791,0.281,0.404,1.15296925297864e-05
"Spint2",4.77565322917446e-10,0.43562612696658,0.804,0.819,1.20007389995925e-05
"Rps24",4.88327519111983e-10,0.317701555933425,0.989,0.986,1.2271182227765e-05
"Ndufa5",4.88928840476816e-10,0.342251151454717,0.835,0.871,1.22862928323419e-05
"Gm11992",4.94486327305039e-10,0.337889051219798,0.765,0.805,1.24259469188483e-05
"Paxbp1",5.24383008751276e-10,-0.448098752691849,0.217,0.347,1.31772206269108e-05
"Syne2",5.30658848654037e-10,-0.450820525389847,0.288,0.438,1.33349262078273e-05
"Vps4a",5.36518293452754e-10,-0.255980091684539,0.275,0.381,1.34821681961743e-05
"Emg1",5.37170595780186e-10,0.277522301459358,0.341,0.356,1.34985599013603e-05
"Cir1",5.49737500473934e-10,-0.304254795592728,0.361,0.515,1.38143536494095e-05
"Gas5",5.69704926967128e-10,0.508447336111828,0.489,0.467,1.4316115109757e-05
"Rab11fip4",5.73077585190603e-10,-0.424354390805451,0.376,0.561,1.44008666382547e-05
"Sap30l",5.76436352762444e-10,-0.270934508142365,0.25,0.362,1.44852691085674e-05
"Dbndd2",5.76982144586342e-10,0.379391554660656,0.636,0.644,1.44989843113102e-05
"Smdt1",5.78858967780497e-10,0.291505023200274,0.762,0.817,1.45461470013561e-05
"Usp7",5.79688508108145e-10,-0.465355491186976,0.193,0.313,1.45669925202496e-05
"Ubxn7",5.97333033637902e-10,-0.471722509577555,0.179,0.291,1.50103818022868e-05
"mt-Co1",5.98705555876018e-10,-0.264031394308573,0.998,0.999,1.50448719136085e-05
"Dmxl1",6.18097808443143e-10,-0.370956818561158,0.259,0.395,1.55321798283677e-05
"D130043K22Rik",6.23696732025043e-10,-0.554918828775909,0.269,0.443,1.56728751790573e-05
"Arhgap35",6.37445104973302e-10,-0.378441069829573,0.218,0.334,1.60183580428741e-05
"Smim14",6.43229435576262e-10,0.273586706058914,0.378,0.402,1.61637124865959e-05
"Hmg20b",6.51060517846479e-10,-0.353071412608622,0.196,0.295,1.63604997529642e-05
"Ttll6",6.99477750115693e-10,-0.292275357200435,0.719,0.872,1.75771763826573e-05
"Sfr1",7.08621594742302e-10,0.278900411903066,0.533,0.572,1.78069520542793e-05
"Arpc3",7.10462587093951e-10,0.326934661933991,0.619,0.664,1.78532143510839e-05
"Scaf8",7.5402648208701e-10,-0.379497753257962,0.255,0.386,1.89479314683645e-05
"Lpin2",7.73851078880631e-10,-0.34132111645027,0.244,0.365,1.94461037611914e-05
"Vps13c",7.85103703418321e-10,-0.256538796826472,0.189,0.267,1.9728870963199e-05
"Pggt1b",7.97280759804132e-10,-0.460303336996418,0.187,0.298,2.0034868213118e-05
"Bmp2k",8.01095323856026e-10,-0.351578774284613,0.201,0.304,2.01307243931781e-05
"Tmcc1",8.050882640397e-10,-0.308062677222451,0.25,0.369,2.02310629870536e-05
"Slc25a16",8.14579693427225e-10,-0.302589593998117,0.212,0.309,2.04695731161327e-05
"Acss1",8.47288447656129e-10,-0.365376898896638,0.239,0.352,2.12915114011509e-05
"Ppp2r3a",8.67139225615245e-10,-0.719729915843278,0.135,0.256,2.17903416004855e-05
"9330182L06Rik",8.82185674139709e-10,-0.403506731492263,0.245,0.364,2.21684438054567e-05
"Rsbn1l",8.98418940631246e-10,-0.276080139631132,0.492,0.676,2.25763695591226e-05
"Trio",9.02764558733256e-10,-0.32516516030402,0.213,0.314,2.2685570596408e-05
"Ttc7",9.02910255080274e-10,-0.322573231710784,0.212,0.316,2.26892317999122e-05
"Rbx1",9.06254544552657e-10,0.372654737812876,0.7,0.733,2.27732704500637e-05
"Srgap1",9.319048851099e-10,-0.321921315434093,0.506,0.687,2.34178378579267e-05
"Flywch1",9.59523343040013e-10,-0.29795446067843,0.308,0.435,2.41118620872525e-05
"Eif4a2",9.66727147763103e-10,0.322504245975988,0.828,0.867,2.4292886496139e-05
"Fam221a",9.71421764290435e-10,-0.447890029292519,0.215,0.338,2.44108575148543e-05
"Gprc5c",9.77342617647956e-10,-0.320047731347202,0.347,0.494,2.45596426388755e-05
"Kmt2c",9.79491792062254e-10,-0.342346952862067,0.289,0.427,2.46136492427324e-05
"Arf1",9.9552399880402e-10,0.306288291092059,0.629,0.666,2.50165225659462e-05
"Rere",1.00589442620781e-09,-0.358891115803151,0.219,0.328,2.52771210361761e-05
"Nfe2l1",1.03825902881267e-09,-0.343954018607396,0.397,0.559,2.60904111350337e-05
"Vgll4",1.06355823622535e-09,0.256132884570632,0.367,0.379,2.67261549181068e-05
"Snrpd2",1.08883045545879e-09,0.332542744343189,0.568,0.599,2.73612205152239e-05
"Gdap1",1.10557955686689e-09,-0.312724619598959,0.513,0.699,2.7782108684508e-05
"Rps14",1.13077751878971e-09,0.33466953933157,0.987,0.986,2.84153082696665e-05
"Mfn2",1.13770842320828e-09,-0.45063943963034,0.167,0.269,2.85894749668008e-05
"Trim37",1.15877390953477e-09,-0.338204188292405,0.34,0.484,2.91188295726991e-05
"Trappc8",1.18266808854295e-09,-0.339676418444718,0.19,0.284,2.97192663969957e-05
"Rack1",1.20941792805454e-09,0.350732614823429,0.778,0.806,3.03914631140825e-05
"Iws1",1.21103605805121e-09,-0.277349995656167,0.32,0.449,3.04321251027688e-05
"Epb41l4b",1.2334018562473e-09,-0.453541697783129,0.212,0.342,3.09941552456384e-05
"Akap8l",1.26598849699837e-09,-0.253290046835538,0.226,0.317,3.18130249410721e-05
"Acbd7",1.31167343203524e-09,0.289197809270268,0.933,0.96,3.29610416736136e-05
"2510009E07Rik",1.34381930936222e-09,-0.320577770854344,0.375,0.533,3.37688354249632e-05
"Mob1b",1.37793689115137e-09,-0.262670990756004,0.224,0.319,3.46261761377428e-05
"Mrps21",1.4203224425423e-09,0.420150315804485,0.471,0.472,3.56912826586455e-05
"Fer",1.45703721921379e-09,-0.363183916953221,0.204,0.313,3.66138882816234e-05
"Gapvd1",1.5052958518903e-09,-0.30132608591344,0.216,0.315,3.78265794621514e-05
"Ubl3",1.50676203940174e-09,0.321615208172739,0.762,0.804,3.78634232881265e-05
"Eml5",1.51984400685088e-09,-0.44325182499615,0.367,0.55,3.81921600481558e-05
"Pibf1",1.62558211050071e-09,-0.301753380473771,0.206,0.299,4.08492528547723e-05
"Acp2",1.66211066850085e-09,-0.350980580752834,0.371,0.54,4.17671789887579e-05
"Tbpl1",1.68132131115876e-09,-0.285733720174533,0.217,0.308,4.22499232281085e-05
"Snu13",1.68297681443433e-09,0.270185412134909,0.554,0.592,4.22915243699203e-05
"Tsix",1.68830905180975e-09,-1.27680982861187,0.098,0.25,4.24255181629271e-05
"Ccdc66",1.71122378185797e-09,-0.330784795123453,0.296,0.426,4.3001342414309e-05
"Jag2",1.71343267211897e-09,-0.429569965147838,0.166,0.263,4.30568496176775e-05
"Mef2a",1.72812828703141e-09,-0.292383145664398,0.538,0.715,4.34261357248122e-05
"Tmem136",1.81810591727312e-09,-0.509687830360703,0.165,0.27,4.56871835951563e-05
"Ythdc2",1.85978246449883e-09,-0.373456276228863,0.211,0.316,4.6734473550391e-05
"Suco",1.86025719327442e-09,-0.257509668002044,0.49,0.664,4.67464030097929e-05
"Inpp5k",1.86043441978029e-09,-0.270012206748508,0.321,0.454,4.6750856534659e-05
"Slmap",1.88497357462895e-09,-0.340585819891915,0.218,0.327,4.73675009568509e-05
"Jarid2",1.90847066348441e-09,-0.494315647980171,0.381,0.569,4.79579593026998e-05
"Negr1",1.95973869534878e-09,-1.04513060153526,0.128,0.287,4.92462736754195e-05
"Clock",1.98683626820738e-09,-0.350780752494791,0.199,0.298,4.99272085837833e-05
"Erc1",1.99391377401965e-09,-0.350191980421178,0.289,0.424,5.01050592273397e-05
"Fth1",2.03856150629209e-09,0.285047848765115,1,0.999,5.1227012091614e-05
"Ddx1",2.04607472227745e-09,-0.2693882936959,0.373,0.517,5.14158116961101e-05
"Rpl29",2.05669348677278e-09,0.333207946147154,0.865,0.89,5.16826506291133e-05
"Vps13b",2.10762766375664e-09,-0.50682039503045,0.17,0.273,5.29625755625405e-05
"Epha5",2.17197100139147e-09,0.367641890199641,0.783,0.79,5.45794592939662e-05
"Rpsa",2.18742385724003e-09,0.250530692230439,0.967,0.979,5.49677741085848e-05
"Ppfia1",2.19622099044548e-09,-0.380545283463881,0.277,0.419,5.51888372689043e-05
"Mfsd6",2.19981111667362e-09,-0.310385189349104,0.207,0.303,5.52790535508914e-05
"Cdh2",2.21977211718448e-09,-0.448189117243388,0.373,0.559,5.57806535327288e-05
"Hsp90b1",2.31238407188017e-09,0.307978930101871,0.951,0.969,5.81078993422767e-05
"Rpl10a",2.45235966973916e-09,0.447180617388946,0.853,0.848,6.16253461408755e-05
"Casz1",2.53097624103492e-09,-0.532783122654363,0.327,0.509,6.36009019609666e-05
"Cwf19l2",2.53403163679923e-09,-0.326333762951331,0.246,0.354,6.36776810011279e-05
"Pcbp1",2.53419160521918e-09,0.289416867282896,0.687,0.733,6.36817008475528e-05
"Kcnh3",2.55359862430425e-09,-0.27697352716057,0.301,0.425,6.41693798301414e-05
"Srrm4",2.56427872727825e-09,-0.320295226661232,0.28,0.406,6.44377601377752e-05
"Srrm3",2.71711208390173e-09,-0.501700708112394,0.166,0.271,6.82783095563665e-05
"Saraf",2.7751418756737e-09,0.261195945895024,0.952,0.976,6.97365401938044e-05
"Slc25a33",2.82378819270926e-09,-0.350416373309185,0.458,0.625,7.09589734945911e-05
"Crk",3.05536619698469e-09,-0.286227678848009,0.226,0.322,7.67782971640283e-05
"Hmgcr",3.06999992445766e-09,-0.300389069294942,0.214,0.31,7.71460281016965e-05
"Bbs9",3.07733337990536e-09,-0.325874120623613,0.23,0.336,7.73303105036417e-05
"Fam13c",3.09260302790996e-09,-0.459905106996065,0.185,0.3,7.77140214883494e-05
"Ndufb7",3.17348155740547e-09,0.27626975693056,0.811,0.859,7.9746418056042e-05
"Mical3",3.2408782498131e-09,-0.258519628365653,0.312,0.44,8.14400295395533e-05
"Ndufc1",3.28856741428319e-09,0.43841714572324,0.78,0.774,8.26384105535224e-05
"Nwd1",3.30293336875163e-09,-0.353793002101049,0.442,0.611,8.29994126233598e-05
"Impad1",3.32439807203116e-09,-0.529886965668298,0.183,0.305,8.35387991520711e-05
"Stxbp1",3.38926055950243e-09,-0.329063015258428,0.344,0.499,8.51687285997367e-05
"Lats1",3.48118346353125e-09,-0.437892100183099,0.245,0.384,8.74786592550768e-05
"Rpl17",3.49727469313215e-09,0.320820136734304,0.944,0.95,8.78830157637178e-05
"Rps23",3.52116463861897e-09,0.379961678443545,0.97,0.968,8.84833462038561e-05
"Ankmy2",3.57620254241781e-09,-0.28244008337132,0.199,0.28,8.98663936884172e-05
"Tmprss6",3.59203610812904e-09,-0.310421300767334,0.365,0.52,9.02642753611746e-05
"Psenen",3.63100274018082e-09,0.315135758312581,0.605,0.644,9.12434678580037e-05
"Opa1",3.63104027853894e-09,-0.401951779330042,0.299,0.447,9.12444111594049e-05
"Gm42372",3.6497585147905e-09,-0.352148703292893,0.246,0.362,9.17147817181705e-05
"Gpr162",3.7846018996135e-09,-1.33700907776147,0.115,0.301,9.51032611353877e-05
"Anapc2",3.85414934057045e-09,-0.403479173150337,0.182,0.285,9.68509187791947e-05
"Phtf2",3.91835193566097e-09,-0.331508695423406,0.265,0.385,9.84642657912246e-05
"Tmem268",3.95614104144842e-09,-0.262765017534943,0.253,0.363,9.94138682305573e-05
"Slc4a4",3.99828334373034e-09,-0.323248621018845,0.559,0.735,0.0001004728621446
"Slc12a2",4.13358043281296e-09,-0.269933351583364,0.736,0.868,0.000103872742696157
"Herc3",4.13880183815434e-09,-0.359402129800626,0.286,0.425,0.00010400395139098
"Kirrel3",4.21840289010452e-09,-0.534533739743633,0.166,0.276,0.000106004246225436
"Nmt1",4.34681833458965e-09,-0.990287950131094,0.148,0.314,0.000109231197929903
"Tshz3",4.39857809870341e-09,-0.460410421696712,0.198,0.319,0.000110531869042318
"Jmjd1c",4.4434477280478e-09,-0.315410424940776,0.325,0.468,0.000111659397958113
"Rybp",4.45686795620698e-09,-0.391179350826391,0.179,0.279,0.000111996634871525
"Lin7c",4.46475583359280e-09,-0.258296262841374,0.451,0.614,0.000112194849342353
"Wdr60",4.54623003797578e-09,-0.338266285112289,0.409,0.577,0.000114242214624293
"Ago1",4.55304663710064e-09,-0.457337577662235,0.244,0.386,0.000114413508943702
"Shisal1",4.63053182744425e-09,-0.434228498191336,0.215,0.339,0.000116360634291847
"Arf4",4.84591961419379e-09,0.262351607061375,0.426,0.465,0.000121773113985076
"Aamp",4.90058597496451e-09,-0.258338583277592,0.273,0.389,0.000123146824964883
"Stmn4",4.9477849761819e-09,-0.333524031254801,0.596,0.752,0.000124332888666475
"Setbp1",4.98950823420312e-09,-0.391864926150988,0.282,0.418,0.00012538135241729
"Hipk2",5.03408390190282e-09,-0.39926043148848,0.222,0.343,0.000126501494370916
"Zc3h18",5.06373396738927e-09,-0.29259299943031,0.197,0.289,0.000127246570866525
"Hspe1",5.16094120607489e-09,0.26113755914688,0.509,0.551,0.000129689291567456
"Clmn",5.19500354598218e-09,-0.687615701423908,0.14,0.264,0.000130545244106986
"Rabep1",5.44162087456302e-09,-0.267086395232404,0.388,0.537,0.000136742490956894
"Ccdc187",5.4643041841581e-09,-0.350270426842677,0.221,0.324,0.000137312499843709
"Sgip1",5.48835110430359e-09,-0.386053962850797,0.282,0.428,0.000137916774900045
"Nifk",5.50338605839426e-09,-0.362051198911721,0.178,0.267,0.000138294588261389
"Bdp1",5.7254980102498e-09,-0.312372432751473,0.258,0.376,0.000143876039499567
"Jmy",5.83837661638962e-09,-0.453036575442436,0.208,0.329,0.000146712565993255
"Ubr7",6.00223434845649e-09,-0.521436709771113,0.158,0.262,0.000150830146942363
"Rps7",6.01454901870684e-09,0.303477350192695,0.964,0.97,0.000151139602291084
"Rpl19",6.01784187934693e-09,0.294475494405379,0.986,0.987,0.000151222348586109
"Glg1",6.04708624117898e-09,-0.250332634594241,0.36,0.499,0.000151957230154587
"Fxr2",6.07087014144028e-09,-0.357651447598008,0.189,0.284,0.000152554895784253
"Rpl23a",6.23123850845084e-09,0.274822352532963,0.867,0.901,0.000156584792478861
"Jakmip2",6.27573603681246e-09,-0.492796608710356,0.223,0.362,0.00015770297086906
"Hsbp1",6.38577925003696e-09,0.274687087016141,0.667,0.721,0.000160468246774179
"Mppe1",6.40406247194885e-09,-0.721804865397703,0.137,0.263,0.000160927685857603
"Clasp2",6.51108602949953e-09,-0.364550497541604,0.237,0.35,0.000163617080835294
"Jhy",6.52863257754547e-09,-0.318761339266647,0.389,0.55,0.00016405800804114
"Rab11fip2",6.65666805411916e-09,-0.497638978586181,0.221,0.365,0.00016727541153196
"Pcdh19",6.70470740468254e-09,-0.633178224641607,0.19,0.33,0.000168482592372268
"Nyap2",6.76823875726733e-09,-0.541777103873233,0.335,0.537,0.000170079071731371
"Rc3h2",6.81928254649614e-09,-0.340535380230835,0.323,0.463,0.000171361751110901
"Ndufb2",6.8738948487286e-09,0.28436407520189,0.512,0.546,0.000172734103653701
"Gas8",6.91635863656356e-09,-0.275039765650616,0.312,0.441,0.000173801176178206
"Xkr4",7.02636733462851e-09,-0.764874249334986,0.16,0.304,0.00017656558475188
"Irf2bp1",7.10932387784907e-09,-0.494816414649279,0.177,0.291,0.000178650199726469
"Numa1",7.12662075100623e-09,-0.347914454173149,0.345,0.495,0.000179084852852036
"Casp8ap2",7.17101834320428e-09,-0.254779218133263,0.231,0.335,0.00018020051994638
"Tspoap1",7.25054610430701e-09,-0.539197730841862,0.159,0.272,0.000182198973055131
"Hfe",7.35153593030650e-09,-0.331498141545444,0.256,0.38,0.000184736746392672
"Psme4",7.38330585496699e-09,-0.362288651246515,0.335,0.48,0.000185535092829466
"Nop10",7.67356473483325e-09,0.642422346009727,0.414,0.355,0.000192829008221625
"Cdip1",7.81405617229949e-09,-0.305142401896114,0.315,0.452,0.000196359417553714
"Vps41",7.94521940259899e-09,-0.369995886385132,0.195,0.299,0.00019965541836791
"Uckl1os",8.08372625505322e-09,-0.336499440404186,0.403,0.578,0.000203135957063232
"Khsrp",8.28046610884351e-09,-0.394637090242325,0.208,0.324,0.000208079832849129
"Mlh3",8.28972393264018e-09,-0.434478342726068,0.245,0.382,0.000208312472703315
"Rictor",8.51021598174647e-09,-0.5142273904155,0.165,0.269,0.000213853217405307
"Cep126",8.51287193672346e-09,-0.269091994470603,0.581,0.748,0.000213919958897924
"Atp8b3",8.53199450492135e-09,-0.469986064811343,0.254,0.398,0.000214400489914169
"Casc3",8.56216157330325e-09,-0.520429780562734,0.216,0.355,0.000215158558175537
"Akna",8.65511068935181e-09,-0.523259089067492,0.153,0.255,0.000217494276512722
"Med13",9.08034385247456e-09,-0.347262183263457,0.285,0.425,0.000228179960668833
"Tjp1",9.28397406644498e-09,-0.515563389564226,0.224,0.372,0.000233296984315696
"Slc43a2",9.89476015932433e-09,-0.315449240722128,0.25,0.366,0.000248645428043661
"Lrrc3b",9.89495165368471e-09,0.818874336613341,0.314,0.247,0.000248650240105443
"Vps54",1.00188388242281e-08,-0.418957036880109,0.209,0.328,0.000251763400814027
"March8",1.01761315845413e-08,-0.34892956476539,0.23,0.345,0.000255716010587939
"Tmed2",1.03231058510984e-08,0.299606783027148,0.704,0.745,0.000259409326932251
"Ndufa13",1.05401089201578e-08,0.345612431601019,0.946,0.965,0.000264862397054645
"Tmem181a",1.06347942408349e-08,-0.33340513335777,0.208,0.308,0.000267241744477939
"Astn2",1.06812587603462e-08,-0.526392339776735,0.162,0.264,0.00026840935138874
"Ndufa3",1.15446964389853e-08,0.459535077831194,0.71,0.691,0.000290106676815261
"Ss18",1.17556928486485e-08,-0.374343046356463,0.186,0.286,0.000295408805593687
"Hist1h4d",1.1849585027469e-08,-0.695982790049194,0.249,0.426,0.000297768222155268
"Sptan1",1.21815924528227e-08,-0.404302900495337,0.325,0.483,0.000306111236746982
"Zc3h13",1.27350145659368e-08,-0.297321591186164,0.458,0.625,0.000320018181027425
"Zfp871",1.33288143733542e-08,-0.28844261937853,0.257,0.372,0.000334939776388019
"Sort1",1.33435478564779e-08,-0.402845165186854,0.222,0.338,0.000335310014085434
"Ncoa6",1.33869580539079e-08,-0.371462573191761,0.235,0.351,0.000336400868936652
"Crmp1",1.34189294749539e-08,-0.574779737074299,0.16,0.273,0.000337204278776116
"Kcnh4",1.34341741479667e-08,-0.289298080723326,0.281,0.4,0.000337587362164254
"Smg5",1.35019778505708e-08,-0.361222588839333,0.221,0.33,0.000339291201406994
"Anapc13",1.37573584823696e-08,0.331710613197249,0.51,0.518,0.000345708661303466
"2810001G20Rik",1.39404127402913e-08,-0.451784055263594,0.387,0.574,0.000350308631750781
"Atp6v1g1",1.4305577258402e-08,0.335875457451553,0.867,0.906,0.000359484850926385
"Gnl3l",1.45738851752127e-08,-0.326691512981008,0.26,0.379,0.000366227160567921
"Mapk8ip3",1.458590558605e-08,-0.352576058143436,0.32,0.469,0.00036652922147185
"Kcna2",1.47459045507384e-08,-0.305458041914991,0.53,0.713,0.000370549835455505
"Hipk1",1.47552144770259e-08,-0.374001617959768,0.23,0.338,0.000370783784593184
"Krtcap2",1.51524613198353e-08,0.308023362420715,0.56,0.597,0.000380766200506142
"Atp5g1",1.54353695907873e-08,0.310525733341394,0.647,0.695,0.000387875402446895
"Rims1",1.54437984339498e-08,-0.526493442218935,0.158,0.254,0.000388087210846725
"Tmsb10",1.58638746554249e-08,0.335234110750785,0.395,0.418,0.000398643306216173
"Ralgapa1",1.61120418419297e-08,-0.321256229770946,0.304,0.445,0.000404879499445852
"Arid2",1.61517822427361e-08,-0.399540324365213,0.24,0.37,0.000405878135977715
"Slc7a5",1.63059450170919e-08,-0.63422298089356,0.165,0.292,0.000409752092334503
"Agtpbp1",1.69121794704264e-08,-0.262858728902498,0.651,0.815,0.000424986157912345
"Camta1",1.69349308164632e-08,-0.283402891719193,0.386,0.54,0.000425557876486904
"Rpl18",1.7083520612104e-08,0.328573736259983,0.907,0.919,0.000429291789461561
"Akap6",1.71601889353366e-08,-0.480212286149514,0.263,0.412,0.000431218387756074
"Kiz",1.71839488350012e-08,-0.281391493725143,0.301,0.426,0.000431815450274745
"4932438A13Rik",1.73158392580809e-08,-0.33399121452161,0.282,0.406,0.000435129724716315
"Dut",1.76584510473631e-08,0.312527865155373,0.432,0.455,0.000443739216369186
"Prkar2a",1.79265381530354e-08,-0.297408187463185,0.246,0.357,0.000450475977247626
"Spata6",1.82634162265461e-08,-0.290978885545084,0.214,0.31,0.000458941386356876
"Map4k3",1.84831723277601e-08,-0.354786063160566,0.187,0.284,0.000464463637424283
"Phf14",1.8602408558222e-08,-0.302785446324616,0.189,0.285,0.000467459924659561
"Stox2",1.88953696452031e-08,-0.428364702981764,0.212,0.327,0.00047482174381431
"Trmt1l",1.91155899249683e-08,-0.270660878721808,0.22,0.316,0.000480355659224527
"Spock2",1.93719064805352e-08,-0.302772417563053,0.458,0.626,0.00048679663794937
