"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","7/146","125/28832",0.056,11.0588493150685,8.04045615553837,3.57874138230161e-06,0.000344121188117362,0.000292266549787438,"Unc13c/Cacna1d/Rims2/Rims1/Ppfia2/Cacna1b/Sv2a",7
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","12/146","454/28832",0.026431718061674,5.2197211996862,6.46535053011096,3.69266476773869e-06,0.000344121188117362,0.000292266549787438,"Rpl35a/Rps15a/Rpl27/Rps21/Rpl38/Mtrex/Snrpf/Nob1/Nop10/Ago3/Prpf18/Rps28",12
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","7/146","133/28832",0.0526315789473684,10.393655371305,7.74637193255242,5.39814556779407e-06,0.000463954398936393,0.000394042436554643,"Arl6ip5/Cacna1d/Rims2/Tspoap1/Rims1/Ppfia2/Cacna1b",7
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","10/146","318/28832",0.0314465408805031,6.21004566210046,6.66495621733235,5.45270882756108e-06,0.000463954398936393,0.000394042436554643,"Unc13c/Cacna1d/Ppp3r1/Rims2/Ap2a2/Ap2b1/Rims1/Ppfia2/Cacna1b/Sv2a",10
"GO:0016082","GO:0016082","synaptic vesicle priming","4/146","33/28832",0.121212121212121,23.936903279369,9.4053363920808,2.30310600446148e-05,0.00183211102610274,0.00155603545180122,"Unc13c/Rims2/Rims1/Sv2a",4
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","6/146","112/28832",0.0535714285714286,10.5792563600783,7.24635945647309,2.34045864346288e-05,0.00183211102610274,0.00155603545180122,"Cacna1d/Rims2/Tspoap1/Rims1/Ppfia2/Cacna1b",6
"GO:0042254","GO:0042254","ribosome biogenesis","9/146","320/28832",0.028125,5.5541095890411,5.84434586143378,3.90192075437284e-05,0.00293694573704141,0.00249438577779543,"Rpl35a/Rps15a/Rpl27/Rps21/Rpl38/Mtrex/Nob1/Nop10/Rps28",9
"GO:0098703","GO:0098703","calcium ion import across plasma membrane","4/146","40/28832",0.1,19.7479452054795,8.46484554859937,5.00411076259547e-05,0.00349751598657119,0.00297048529854821,"Cacna1d/Ppp3r1/Ppp3ca/Cacna1b",4
"GO:1902656","GO:1902656","calcium ion import into cytosol","4/146","40/28832",0.1,19.7479452054795,8.46484554859937,5.00411076259547e-05,0.00349751598657119,0.00297048529854821,"Cacna1d/Ppp3r1/Ppp3ca/Cacna1b",4
"GO:0016081","GO:0016081","synaptic vesicle docking","3/146","15/28832",0.2,39.4958904109589,10.6391492039833,5.53496943412201e-05,0.00373515006295751,0.00317231097512837,"Unc13c/Rims2/Rims1",3
"GO:0014009","GO:0014009","glial cell proliferation","5/146","82/28832",0.0609756097560976,12.0414300033411,7.14306511648068,6.19866535471413e-05,0.00404359603305852,0.00343427810354162,"Rnf10/Rb1/Nfix/Slc7a5/Atxn1",5
"GO:0045055","GO:0045055","regulated exocytosis","8/146","265/28832",0.030188679245283,5.96164383561644,5.78878592647533,6.47439834607099e-05,0.00408722502040675,0.00347133276347915,"Unc13c/Cacna1d/Rims2/Rims1/Cdk5r2/Ppfia2/Cacna1b/Sv2a",8
"GO:0006364","GO:0006364","rRNA processing","7/146","215/28832",0.0325581395348837,6.42956355527238,5.70089947657807,0.000117403613637772,0.00717996474653499,0.00609803637940927,"Rpl35a/Rpl27/Rps21/Mtrex/Nob1/Nop10/Rps28",7
"GO:0048791","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","3/146","20/28832",0.15,29.6219178082192,9.13478455525918,0.000136125839430072,0.00807267478074698,0.00685622648995481,"Unc13c/Rims2/Rims1",3
"GO:0050767","GO:0050767","regulation of neurogenesis","10/146","473/28832",0.0211416490486258,4.17504126965739,4.96713281508132,0.000156006009791788,0.00836881434127294,0.00710774162647983,"Robo2/Rnf10/Rb1/Ulk2/Ppp3ca/D130043K22Rik/Casz1/Slc7a5/Ell3/Atxn1",10
"GO:0031632","GO:0031632","positive regulation of synaptic vesicle fusion to presynaptic active zone membrane","3/146","21/28832",0.142857142857143,28.2113502935421,8.89921825613489,0.000158224900678129,0.00836881434127294,0.00710774162647983,"Rims2/Rims1/Cacna1b",3
